nome,email,cucina,zona,telefono,sito,link_demo,piatti
"El Indio","info@elindiobondi.com","","Bondi Beach","+61 468 481 945","https://www.elindiobondi.com/","https://gustobolsa-chat.pages.dev/?restaurant=el-indio&table=1","56"
"El Patron Street Tacos","elpatronmextacos@gmail.com","","Newtown","","https://www.elpatrontacos.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=el-patron-street-tacos&table=1","21"
"El Primo Sanchez","hello@elprimosanchez.com","","Surry Hills e Darlinghurst","","https://www.elprimosanchez.com","https://gustobolsa-chat.pages.dev/?restaurant=el-primo-sanchez&table=1","39"
"El Rocco","pizza@elrocco.com.au","","Potts Point e Kings Cross","+61 2 9368 0894","http://www.elrocco.com.au","https://gustobolsa-chat.pages.dev/?restaurant=el-rocco&table=1","18"
"Elements Bar and Grill Pyrmont","info@elementsbarandgrill.com.au","steak_house, bar_and_grill","Pyrmont","","https://www.elementsbarandgrill.com.au/home","https://gustobolsa-chat.pages.dev/?restaurant=elements-bar-and-grill-pyrmont&table=1","18"
"Emad's Restaurant","booking@domainame.com","Lebanese Restaurant","Surry Hills e Darlinghurst","(02) 9698 2631","http://emadsrestaurant.com.au","https://gustobolsa-chat.pages.dev/?restaurant=emad-s-restaurant&table=1","16"
"Employees Only","info@employeesonlysyd.com","Cocktail Bar","Centro citta' (CBD)","(02) 8084 7490","https://www.employeesonlysyd.com","https://gustobolsa-chat.pages.dev/?restaurant=employees-only&table=1","28"
"Erciyes Restaurant","erciyesrestaurant@gmail.com","Turkish Restaurant","Surry Hills e Darlinghurst","(02) 9319 1309","http://www.erciyesrestaurant.com.au","https://gustobolsa-chat.pages.dev/?restaurant=erciyes-restaurant&table=1","54"
"ESQ Bar & Dining","reservations@esqatqvb.com.au","Restaurant","Centro citta' (CBD)","(02) 8023 7609","https://www.esqatqvb.com.au/#","https://gustobolsa-chat.pages.dev/?restaurant=esq-bar-dining&table=1","22"
"Esteban","info@estebanrestaurant.com.au","Mexican Restaurant","Centro citta' (CBD)","(02) 9062 8565","https://www.estebanrestaurant.com.au","https://gustobolsa-chat.pages.dev/?restaurant=esteban&table=1","25"
"Etheus","hello@etheus.sydney","Mediterranean Restaurant","Bondi Beach","(02) 7228 1408","http://etheus.sydney","https://gustobolsa-chat.pages.dev/?restaurant=etheus&table=1","36"
"Ezra","info@ezrarestaurant.com.au","","Potts Point e Kings Cross","","https://ezrarestaurant.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=ezra&table=1","10"
"Fairmont Restaurant / Steak House","enquiries@theoccidental.com","Steakhouse","Centro citta' (CBD)","(02) 9299 7180","https://theoccidental.com/restaurant","https://gustobolsa-chat.pages.dev/?restaurant=fairmont-restaurant-steak-house&table=1","85"
"Fei Jai","fatboy@feijai.com","chinese","Potts Point e Kings Cross","+61 2 8668 4424","https://feijai.com/","https://gustobolsa-chat.pages.dev/?restaurant=fei-jai&table=1","154"
"Fins & Ribs","info@finsandribs.com.au","Fish and Chips Shop","Manly","(02) 8592 0197","https://www.finsandribs.com.au","https://gustobolsa-chat.pages.dev/?restaurant=fins-ribs&table=1","96"
"Fish at the Rocks","reservations@fishattherocks.com.au","fish","Darling Harbour e Barangaroo","+61 2 9252 4614","https://fishattherocks.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=fish-at-the-rocks&table=1","109"
"Fishmongers","info@fishmongersbondi.com.au","Seafood Restaurant","Bondi Beach","(02) 9365 2205","http://fishmongersbondi.com.au","https://gustobolsa-chat.pages.dev/?restaurant=fishmongers&table=1","41"
"Fleetwood Macchiato","hello@fleetwoodmacchiato.com","Café","Newtown","(02) 9557 9291","http://www.fleetwoodmacchiato.com","https://gustobolsa-chat.pages.dev/?restaurant=fleetwood-macchiato&table=1","25"
"Flight Path Wine Bar","info@flightpathwinebar.com.au","Wine Bar","Newtown","","http://flightpathwinebar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=flight-path-wine-bar&table=1","13"
"Flour Drum","sales@flourdrum.com.au","Café","Newtown","(02) 9565 2822","http://flourdrum.com.au","https://gustobolsa-chat.pages.dev/?restaurant=flour-drum&table=1","20"
"Flyover Fritterie","hello@flyoverfritterie.com.au","Indian Restaurant","Centro citta' (CBD)","0415 908 085","http://flyoverfritterie.com","https://gustobolsa-chat.pages.dev/?restaurant=flyover-fritterie&table=1","21"
"Forest Lodge Hotel","info@forestlodgehotel.com.au","","Glebe","+61 2 9660 1872","https://www.forestlodgehotel.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=forest-lodge-hotel&table=1","53"
"Four Ate Five","order@fouratefive.com","","Surry Hills e Darlinghurst","","https://www.fouratefive.com/","https://gustobolsa-chat.pages.dev/?restaurant=four-ate-five&table=1","36"
"Frank Mac's","info@frankmacs.com.au","Cocktail Bar","Circular Quay e The Rocks","0450 701 083","http://www.frankmacs.com.au","https://gustobolsa-chat.pages.dev/?restaurant=frank-mac-s&table=1","30"
"Fratelli Fresh","reservations@hunter-street.com.au","","Haymarket e Chinatown","","https://fratellifresh.com.au/venues/darling-harbour/","https://gustobolsa-chat.pages.dev/?restaurant=fratelli-fresh&table=1","30"
"Fratelli Paradiso","fratelli@fratelliparadiso.com","italian","Potts Point e Kings Cross","","https://fratelliparadiso.com/","https://gustobolsa-chat.pages.dev/?restaurant=fratelli-paradiso&table=1","10"
"Frothy","frothy@kavehkanes.com.au","Café","Surry Hills e Darlinghurst","0415 812 426","https://frothycafe.wixsite.com/webpage","https://gustobolsa-chat.pages.dev/?restaurant=frothy&table=1","40"
"Gaku Robata Grill","gaku.robata@gmail.com","Japanese Restaurant","Surry Hills e Darlinghurst","(02) 9380 2145","https://www.gakurobatagrill.com.au","https://gustobolsa-chat.pages.dev/?restaurant=gaku-robata-grill&table=1","43"
"Gallon","julian@gallon.com.au","Pub","Pyrmont","0402 799 557","http://www.gallon.com.au","https://gustobolsa-chat.pages.dev/?restaurant=gallon&table=1","21"
"Garfish","info@garfish.com.au","fish","Manly","","https://garfish.com.au","https://gustobolsa-chat.pages.dev/?restaurant=garfish&table=1","29"
"Gavroche","reservations@gavroche.com.au","French Restaurant","Haymarket e Chinatown","(02) 9281 6668","http://gavroche.com.au","https://gustobolsa-chat.pages.dev/?restaurant=gavroche&table=1","16"
"Gazebo","info@bloodymaryssydney.com.au","","Potts Point e Kings Cross","+61 2 9360 5568","https://bloodymaryssydney.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=gazebo&table=1","39"
"Gertrude & Alice","info@gertrudeandalice.com.au","Café","Bondi Beach","(02) 9130 5155","http://www.gertrudeandalice.com.au","https://gustobolsa-chat.pages.dev/?restaurant=gertrude-alice&table=1","57"
"Gin Lane","info@ginlanesydney.com.au","Cocktail Bar","Haymarket e Chinatown","0415 122 113","http://ginlanesydney.com","https://gustobolsa-chat.pages.dev/?restaurant=gin-lane&table=1","138"
"Gina","hello@ginapastabar.com.au","italian","Centro citta' (CBD)","","https://ginapastabar.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=gina&table=1","9"
"Gino's Kitchen & Cocktails","info@ginoskitchen.com.au","Italian Restaurant","Surry Hills e Darlinghurst","(02) 8084 6100","https://ginoskitchen.com.au","https://gustobolsa-chat.pages.dev/?restaurant=gino-s-kitchen-cocktails&table=1","66"
"Glam Cafe & Pancaked","info@gramaustralia.com","Café","Centro citta' (CBD)","(02) 8084 0866","https://www.gramaustralia.com.au","https://gustobolsa-chat.pages.dev/?restaurant=glam-cafe-pancaked&table=1","24"
"Glass Brasserie","glass.sydney@hilton.cglass.sydney@hilton.comom","australian, regional","Centro citta' (CBD)","+61 2 9265 6068","https://www.glassbrasserie.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=glass-brasserie&table=1","30"
"Good Co. Coffee","info@goodcocoffee.com","Café","Centro citta' (CBD)","(02) 9299 6267","http://www.goodcocoffee.com","https://gustobolsa-chat.pages.dev/?restaurant=good-co-coffee&table=1","112"
"Good Ways Deli","gday@goodwaysdeli.com.au","","Surry Hills e Darlinghurst","","https://www.goodwaysdeli.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=good-ways-deli&table=1","24"
"Gran Torino","info@grantorinodoublebay.com","italian","Double Bay e Darling Point","","https://themargaretfamily.com/venue/gran-torino/","https://gustobolsa-chat.pages.dev/?restaurant=gran-torino&table=1","43"
"Great Aunty Three","anhtd@greatauntythree.com","vietnamese","Pyrmont","+61 2 9281 8882","https://greatauntythree.com/","https://gustobolsa-chat.pages.dev/?restaurant=great-aunty-three&table=1","10"
"Great Southern Bar","manager@greatsouthernbar.com.au","Bar","Haymarket e Chinatown","(02) 9211 1337","http://www.greatsouthernbar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=great-southern-bar&table=1","51"
"Green Peppercorn","info@greenpeppercorn.com.au","Thai Restaurant","Haymarket e Chinatown","(02) 8080 7043","http://www.greenpeppercorn.com.au","https://gustobolsa-chat.pages.dev/?restaurant=green-peppercorn&table=1","10"
"Greenhouse Asian Salads","greenhouseasiansalads@gmail.com","Salad Restaurant","Double Bay e Darling Point","(02) 8959 8007","http://www.greenhouseasiansalads.com.au","https://gustobolsa-chat.pages.dev/?restaurant=greenhouse-asian-salads&table=1","44"
"Greens Supermarket","info@greensfood.com.au","Grocery Store","Newtown","","https://www.greenssupermarket.com.au","https://gustobolsa-chat.pages.dev/?restaurant=greens-supermarket&table=1","17"
"Grounds of the City","info@groundsroasters.com","coffee_shop","Centro citta' (CBD)","","https://thegrounds.com.au/dine-in/the-city/","https://gustobolsa-chat.pages.dev/?restaurant=grounds-of-the-city&table=1","43"
"Gusto","info@gustoespressobar.com.au","Café","Bondi Beach","(02) 9130 4565","http://www.gustoespressobar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=gusto&table=1","24"
"Haak Eatery","info@haakeatery.com.au","Korean Restaurant","Surry Hills e Darlinghurst","","https://haakeatery.com.au","https://gustobolsa-chat.pages.dev/?restaurant=haak-eatery&table=1","26"
"Haco","naoki@hacosydney.com.au","Japanese Restaurant","Surry Hills e Darlinghurst","0408 866 285","http://hacosydney.com.au","https://gustobolsa-chat.pages.dev/?restaurant=haco&table=1","23"
"Haigh's Chocolates","strand@haighs.com.au","Chocolate Store","Centro citta' (CBD)","(02) 9232 4199","http://haighschocolates.com.au","https://gustobolsa-chat.pages.dev/?restaurant=haigh-s-chocolates&table=1","68"
"Hamilton","hey@hamiltonpottspoint.com.au","","Potts Point e Kings Cross","","https://hamiltonpottspoint.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=hamilton&table=1","17"
"Harpoon Harry Barbacoa","tables@hotelharry.com.au","South American Restaurant","Surry Hills e Darlinghurst","(02) 8262 8800","http://www.hotelharry.com.au","https://gustobolsa-chat.pages.dev/?restaurant=harpoon-harry-barbacoa&table=1","10"
"Harry's Cafe De Wheels","enquiries@harryscafedewheels.com.au","","Centro citta' (CBD)","","https://www.harryscafedewheels.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=harry-s-cafe-de-wheels&table=1","35"
"Harrys by Giuls","info@harrysbygiuls.com.au","Italian Restaurant","Surry Hills e Darlinghurst","0466 492 529","https://www.harrysbygiuls.com.au","https://gustobolsa-chat.pages.dev/?restaurant=harrys-by-giuls&table=1","30"
"Henrietta","bondi@henriettachicken.com","Middle Eastern Restaurant","Surry Hills e Darlinghurst","(02) 9380 7247","https://www.henriettachicken.com","https://gustobolsa-chat.pages.dev/?restaurant=henrietta&table=1","14"
"Henry Deane","groupbookings@hotelpalisade.com","Lounge","Darling Harbour e Barangaroo","(02) 9018 0123","https://hotelpalisade.com.au/henrydeane","https://gustobolsa-chat.pages.dev/?restaurant=henry-deane&table=1","16"
"Hester's","hello@hesters.com.au","coffee_shop","Centro citta' (CBD)","","https://www.hesters.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=hester-s&table=1","52"
"Hisshou Teppanyaki","1234@hisshou.com.au","Japanese Restaurant","Haymarket e Chinatown","(02) 9211 1234","http://www.hisshou.com.au","https://gustobolsa-chat.pages.dev/?restaurant=hisshou-teppanyaki&table=1","13"
"Honkas Bar + Eats","dine@honkas.com.au","asian","Potts Point e Kings Cross","","https://honkas.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=honkas-bar-eats&table=1","47"
"Hoochie Mamma Cafe","info@hoochiemammacafe.com.au","Café","Newtown","(02) 9557 9444","http://www.hoochiemammacafe.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=hoochie-mamma-cafe&table=1","39"
"Hot Didely Dog","ben@hotdidelydogs.com","Hot Dog Joint","Centro citta' (CBD)","(02) 8005 6004","http://www.hotdidelydogs.com","https://gustobolsa-chat.pages.dev/?restaurant=hot-didely-dog&table=1","18"
"Hotel Sweeney's","info@hotelsweeneys.com.au","Pub","Centro citta' (CBD)","(02) 9267 1796","https://hotelsweeneys.com.au","https://gustobolsa-chat.pages.dev/?restaurant=hotel-sweeney-s&table=1","80"
"Howards Cantina","enquiries@roseofaustralia.com.au","","Newtown","","https://www.roseofaustralia.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=howards-cantina&table=1","41"
"Hugos","manly.functions@hugosmanly.com.au","pizza","Manly","","https://hugosmanly.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=hugos&table=1","40"
"Hurricaines Grill Darling Harbour","reservations@hgcs.com.au","Restaurant","Darling Harbour e Barangaroo","(02) 9211 2210","https://hurricanesgrillrestaurants.com.au/darling-harbour","https://gustobolsa-chat.pages.dev/?restaurant=hurricaines-grill-darling-harbour&table=1","75"
"Hurricane's Grill & Bar Bondi Beach","facebook@hurricanesgrill.com.au","Steakhouse","Bondi Beach","(02) 9130 7101","https://www.hurricanesgrillandbar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=hurricane-s-grill-bar-bondi-beach&table=1","157"
"Iberica","info@ibericabondi.com","Spanish Restaurant","Bondi Beach","0466 646 413","https://ibericabondi.com","https://gustobolsa-chat.pages.dev/?restaurant=iberica&table=1","11"
"Icebergs Dining Room and Bar","idrb@idrb.com","Italian Restaurant","Bondi Beach","(02) 9365 9000","http://www.idrb.com","https://gustobolsa-chat.pages.dev/?restaurant=icebergs-dining-room-and-bar&table=1","13"
"Ichi-ban Boshi","info@ichibanboshi.com.au","Ramen Restaurant","Centro citta' (CBD)","(02) 9262 7677","http://www.ichibanboshi.com.au","https://gustobolsa-chat.pages.dev/?restaurant=ichi-ban-boshi&table=1","146"
"Ichioku Japanese Teppanyaki Restaurant","booking@ichioku.com.au","Japanese Restaurant","Newtown","(02) 9557 5599","http://www.ichioku.com.au","https://gustobolsa-chat.pages.dev/?restaurant=ichioku-japanese-teppanyaki-restaurant&table=1","10"
"Ichoume","info@ichoume.com.au","Japanese Restaurant","Centro citta' (CBD)","(02) 9267 6579","https://ichoume.com.au","https://gustobolsa-chat.pages.dev/?restaurant=ichoume&table=1","36"
"Il Espresso","wickedangelcoffee@gmail.com","Coffee Shop","Surry Hills e Darlinghurst","(02) 8957 1933","http://www.ilespresso.com.au","https://gustobolsa-chat.pages.dev/?restaurant=il-espresso&table=1","55"
"Indigo","info@indigodoublebay.com","","Double Bay e Darling Point","+61 2 9363 5966","https://www.indigodoublebay.com/","https://gustobolsa-chat.pages.dev/?restaurant=indigo&table=1","72"
"Indigo Double Bay","info@indigodoublebay.com","Restaurant","Double Bay e Darling Point","(02) 9363 5966","http://www.barindigo.com.au","https://gustobolsa-chat.pages.dev/?restaurant=indigo-double-bay&table=1","82"
"Ipoh Town on York","info@ipohcentral.com","malaysian","Centro citta' (CBD)","+61 2 9299 0001","https://ipohtown.com.au","https://gustobolsa-chat.pages.dev/?restaurant=ipoh-town-on-york&table=1","54"
"Itadakimasu Onigiri & Bar","itadakimasuonigiri@gmail.com","japanese","Surry Hills e Darlinghurst","+61 494 612 324","https://itadakimasu.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=itadakimasu-onigiri-bar&table=1","9"
"Ivanhoe Hotel Manly","info@ivanhoehotelmanly.com.au","Pub","Manly","(02) 9976 3955","http://ivanhoehotelmanly.com.au","https://gustobolsa-chat.pages.dev/?restaurant=ivanhoe-hotel-manly&table=1","24"
"Jackies Cafe","bookings@jackiespaddington.com.au","Café","Surry Hills e Darlinghurst","0460 682 871","http://www.jackiespaddington.com.au","https://gustobolsa-chat.pages.dev/?restaurant=jackies-cafe&table=1","55"
"Jacoby's","info@jacobys-tiki-bar.com","Tiki Bar","Newtown","0414 683 604","http://www.jacobys-tiki-bar.com","https://gustobolsa-chat.pages.dev/?restaurant=jacoby-s&table=1","41"
"Jambo Jambo Africa","booking@jambojamborestaurant.com.au","Ethiopian Restaurant","Glebe","(02) 8033 2303","http://www.jambojamborestaurant.com.au","https://gustobolsa-chat.pages.dev/?restaurant=jambo-jambo-africa&table=1","13"
"Jamie's Kitchen, Darlinghurst Sydney","info@jamieskitchen.com.au","Café","Surry Hills e Darlinghurst","(02) 9332 1666","http://www.jamieskitchen.com.au","https://gustobolsa-chat.pages.dev/?restaurant=jamie-s-kitchen-darlinghurst-sydney&table=1","25"
"Janus","info@janus-sydney.com.au","Café","Surry Hills e Darlinghurst","(02) 9380 8307","http://www.janus-sydney.com.au","https://gustobolsa-chat.pages.dev/?restaurant=janus&table=1","46"
"Jazushi","jazushi@gmail.com","Japanese Restaurant","Surry Hills e Darlinghurst","(02) 9699 8977","http://www.jazushi.com.au","https://gustobolsa-chat.pages.dev/?restaurant=jazushi&table=1","36"
"Jimmy’s Kitchen","dine@jimmyskitchenbaynine.au","Food and Beverage Retail","Circular Quay e The Rocks","(02) 9251 0897","https://thevenuesco.au/jimmyskitchenbaynine","https://gustobolsa-chat.pages.dev/?restaurant=jimmy-s-kitchen&table=1","24"
"Jipang","info@omnipos.com.au","Japanese Restaurant","Manly","(02) 9977 4436","https://www.jipang-manly.com","https://gustobolsa-chat.pages.dev/?restaurant=jipang&table=1","75"
"Jolene's","howdy@jolenessydney.com","Whisky Bar","Centro citta' (CBD)","0410 836 102","https://jolenessydney.com","https://gustobolsa-chat.pages.dev/?restaurant=jolene-s&table=1","8"
"Jordon's Seafood","dine@jordonsseafood.com.au","seafood","Centro citta' (CBD)","+61 2 9262 2412","https://jordonsseafood.com.au","https://gustobolsa-chat.pages.dev/?restaurant=jordon-s-seafood&table=1","31"
"June's Shoppe","hello@hesters.com.au","coffee_shop","Centro citta' (CBD)","","https://www.junes.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=june-s-shoppe&table=1","39"
"Kahii","hi@kahii.com.au","tea, japanese","Centro citta' (CBD)","","https://www.kahii.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=kahii&table=1","122"
"Kazzi Beach Greek","manly@kazzibeachgreek.com.au","greek","Manly","","https://kazzibeachgreek.com.au/manly/","https://gustobolsa-chat.pages.dev/?restaurant=kazzi-beach-greek&table=1","34"
"Kelly's on King","hello@kellysnewtown.com.au","Pub","Newtown","(02) 9171 0820","https://www.kellysnewtown.com.au","https://gustobolsa-chat.pages.dev/?restaurant=kelly-s-on-king&table=1","28"
"Kent St Hotel","hello@kentsthotel.com.au","Pub","Centro citta' (CBD)","(02) 8057 8193","https://www.kentsthotel.com.au","https://gustobolsa-chat.pages.dev/?restaurant=kent-st-hotel&table=1","31"
"Khôi’s","info@khois.com.au","Vietnamese Restaurant","Surry Hills e Darlinghurst","(02) 8054 6306","https://khois.com.au","https://gustobolsa-chat.pages.dev/?restaurant=khoi-s&table=1","42"
"Kid Kyoto","reservations@kidkyoto.com.au","Japanese Restaurant","Circular Quay e The Rocks","(02) 9241 1991","https://kidkyoto.com.au","https://gustobolsa-chat.pages.dev/?restaurant=kid-kyoto&table=1","16"
"Kiln","enquire@kilnsydney.com","","Surry Hills e Darlinghurst","+61 2 8099 8799","https://www.kilnsydney.com","https://gustobolsa-chat.pages.dev/?restaurant=kiln&table=1","46"
"Kindness Vegan Kitchen","hw.kindnesscafe@gmail.com","","Surry Hills e Darlinghurst","+61 2 9331 5578","https://www.kindnessvegan.com","https://gustobolsa-chat.pages.dev/?restaurant=kindness-vegan-kitchen&table=1","40"
"Kings Cross Hotel","hello@kingscrosshotel.com.au","","Potts Point e Kings Cross","","https://www.kingscrosshotel.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=kings-cross-hotel&table=1","14"
"Kokumai","hello@kokumai.com.au","Sushi Restaurant","Circular Quay e The Rocks","(02) 8958 3355","https://kokumai.com.au","https://gustobolsa-chat.pages.dev/?restaurant=kokumai&table=1","39"
"Koromo by Jazushi","info@koromo.com.au","Restaurant","Darling Harbour e Barangaroo","(02) 8957 7811","http://www.koromo.com.au","https://gustobolsa-chat.pages.dev/?restaurant=koromo-by-jazushi&table=1","18"
"Kurumba is a Sri Lankan restaurant in Surry Hills","ayubowan@kurumbasyd.com.au","Restaurant","Centro citta' (CBD)","(02) 9331 5737","https://kurumbasyd.com.au","https://gustobolsa-chat.pages.dev/?restaurant=kurumba-is-a-sri-lankan-restaurant-in-su&table=1","8"
"La Bomba","contact@cafelabomba.com.au","breakfast, coffee_shop, spanish","Potts Point e Kings Cross","","https://cafelabomba.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=la-bomba&table=1","13"
"La Favola","fabio@favola.com.au","Italian Restaurant","Newtown","(02) 8021 0002","http://www.favola.com.au","https://gustobolsa-chat.pages.dev/?restaurant=la-favola&table=1","104"
"La Madia Pizzeria","pizzerialamadiabondi@gmail.com","Pizzeria","Bondi Beach","0404 212 832","http://pizzerialamadia.com.au","https://gustobolsa-chat.pages.dev/?restaurant=la-madia-pizzeria&table=1","47"
"La Piadina","piadina@lapiadina.com.au","Italian Restaurant","Bondi Beach","(02) 9300 0160","http://www.lapiadina.com.au","https://gustobolsa-chat.pages.dev/?restaurant=la-piadina&table=1","58"
"La Ricetta Ristorante Italiano","enquiries@laricetta.com.au","italian","Newtown","+61 2 9519 0555","https://www.laricetta.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=la-ricetta-ristorante-italiano&table=1","60"
"Lal Qila","enquire@lalqila.com.au","","Centro citta' (CBD)","","https://www.lalqila.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=lal-qila&table=1","79"
"Lantern by Wagaya","info@lantern-wagaya.com","Japanese Restaurant","Haymarket e Chinatown","0483 141 151","http://www.lantern-wagaya.com","https://gustobolsa-chat.pages.dev/?restaurant=lantern-by-wagaya&table=1","21"
"Le Petit Tarte Cafe & Patisserie","lepetittarte@gmail.com","Café","Glebe","(02) 9566 4860","http://www.lepetittartecafe.com.au","https://gustobolsa-chat.pages.dev/?restaurant=le-petit-tarte-cafe-patisserie&table=1","23"
"Leo","hello@restaurantleo.com.au","","Centro citta' (CBD)","","https://restaurantleo.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=leo&table=1","15"
"LeWrap","newtown@lewrap.com","Restaurant","Newtown","(02) 7234 9098","https://lewrap.com/locations/lewrap-newtown","https://gustobolsa-chat.pages.dev/?restaurant=lewrap&table=1","42"
"Lilong by Taste of Shanghai","enquiry@tasteofshanghai.com.au","chinese","Haymarket e Chinatown","","https://tasteofshanghai.com.au/lilong-2/","https://gustobolsa-chat.pages.dev/?restaurant=lilong-by-taste-of-shanghai&table=1","103"
"LinQ Bar","info@shelbournehotel.com.au","","Centro citta' (CBD)","","https://www.shelbournehotel.com.au/linq-bar-restaurant-photos","https://gustobolsa-chat.pages.dev/?restaurant=linq-bar&table=1","37"
"Little Turtle Thai Restaurant","littleturtlerestaurant@gmail.com","thai","Newtown","","https://littleturtlerestaurant.com/","https://gustobolsa-chat.pages.dev/?restaurant=little-turtle-thai-restaurant&table=1","59"
"Loam","enquire@loamsurryhills.com","","Surry Hills e Darlinghurst","+61 2 8099 8799","https://www.loamsurryhills.com/","https://gustobolsa-chat.pages.dev/?restaurant=loam&table=1","82"
"Lobo Plantation","info@thelobo.com.au","","Centro citta' (CBD)","","https://www.thelobo.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=lobo-plantation&table=1","45"
"Loftus Lane Cafe","loftuslane.cafe@gmail.com","Café","Circular Quay e The Rocks","0426 359 394","https://www.loftuslanecafe.com.au","https://gustobolsa-chat.pages.dev/?restaurant=loftus-lane-cafe&table=1","34"
"Lokal","holla@lokalwine.com","Wine Bar","Surry Hills e Darlinghurst","","https://www.lokalwine.com.au","https://gustobolsa-chat.pages.dev/?restaurant=lokal&table=1","29"
"Lox In A Box","hello@loxinabox.com.au","","Bondi Beach","+61 402 406 434","https://www.loxinabox.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=lox-in-a-box&table=1","26"
"Lox In a Box & After Hours Takeaway","hello@loxinabox.com.au","bagel","Bondi Beach","","https://www.loxinabox.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=lox-in-a-box-after-hours-takeaway&table=1","26"
"Lox Stock & Barrel","info@loxstockandbarrel.com.au","","Bondi Beach","","https://www.loxstockandbarrel.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=lox-stock-barrel&table=1","33"
"Lukumades","info@lukumades.co","greek","Haymarket e Chinatown","","https://www.lukumades.co/","https://gustobolsa-chat.pages.dev/?restaurant=lukumades&table=1","21"
"Lumiere Cafe & Patisserie","info@lumierecafe.com.au","Café","Surry Hills e Darlinghurst","(02) 9331 6184","http://lumierecafe.com.au","https://gustobolsa-chat.pages.dev/?restaurant=lumiere-cafe-patisserie&table=1","25"
"Luna Lu","reservations@lunalu.com.au","Asian Restaurant","Circular Quay e The Rocks","(02) 8220 8401","https://lunalu.com.au","https://gustobolsa-chat.pages.dev/?restaurant=luna-lu&table=1","18"
"Lush Bucket Cafe","kate@lushcatering.com.au","Café","Haymarket e Chinatown","(02) 9211 3551","http://lushbucketcafe.com.au","https://gustobolsa-chat.pages.dev/?restaurant=lush-bucket-cafe&table=1","53"
"Machi machi","info@machimachi.com.au","bubble_tea","Centro citta' (CBD)","","https://machimachi.com.au/?m=home&c=Lists&a=index&tid=70","https://gustobolsa-chat.pages.dev/?restaurant=machi-machi&table=1","49"
"Macleay Street Bistro","reservations@macleaystbistro.com.au","","Potts Point e Kings Cross","","https://macleaystbistro.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=macleay-street-bistro&table=1","14"
"Made in Italy Sydney CBD","yorklane@madeinitaly.com.au","pizza, italian, pasta","Centro citta' (CBD)","+61 2 9299 0900","https://madeinitaly.com.au","https://gustobolsa-chat.pages.dev/?restaurant=made-in-italy-sydney-cbd&table=1","41"
"Maggie's","hello@maggiespottspoint.com.au","austrian","Potts Point e Kings Cross","+61 2 9331 2226","https://www.maggiespottspoint.com.au","https://gustobolsa-chat.pages.dev/?restaurant=maggie-s&table=1","72"
"Malabar South Indian Cuisine","info@malabarcuisine.com.au","indian","Surry Hills e Darlinghurst","","https://malabarcuisine.com.au/darlinghurst/","https://gustobolsa-chat.pages.dev/?restaurant=malabar-south-indian-cuisine&table=1","34"
"Mama Saan","info@mamasaan.com.au","Asian Restaurant","Bondi Beach","(02) 7207 9092","https://www.mamasaan.com.au","https://gustobolsa-chat.pages.dev/?restaurant=mama-saan&table=1","100"
"Mamak","info@mamak.com.au","malaysian","Haymarket e Chinatown","+61 2 9211 1668","https://www.mamak.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=mamak&table=1","44"
"Mamasaan Bondi - Japanese Cuisine Restaurant and Bar in Bondi Beach","info@mamasaan.com.au","Food and Beverage Retail","Bondi Beach","(02) 7207 9092","https://www.mamasaanbondi.com","https://gustobolsa-chat.pages.dev/?restaurant=mamasaan-bondi-japanese-cuisine-restaura&table=1","100"
"Manjits Wharf","news@manjits.com.au","Indian Restaurant","Centro citta' (CBD)","(02) 9279 3379","https://manjits.com.au","https://gustobolsa-chat.pages.dev/?restaurant=manjits-wharf&table=1","52"
